"hegegemeinschaft_name";"hegegemeinschaft_id";"revier_name";"revier_id";"ansprechpartner_name";"ansprechpartner_rolle";"telefon";"email";"stellvertreter_name";"stellvertreter_telefon";"stellvertreter_email";"notizen";"parcel_ids"
"Hegegemeinschaft Ansbach";"hg-ansbach";"Elpersdorf";"revier-ansbach-elpersdorf";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Hennenbach";"revier-ansbach-hennenbach";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Eyb";"revier-ansbach-eyb";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Neuses";"revier-ansbach-neuses";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Schalkhausen";"revier-ansbach-schalkhausen";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Brünst Eigenjagd";"revier-ansbach-bruensst-eigenjagd";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Feuchtlach";"revier-ansbach-feuchtlach";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Rotheberg";"revier-ansbach-rotheberg";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Schönfeld";"revier-ansbach-schoenfeld";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Bocksberg";"revier-ansbach-bocksberg";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Stadtwald";"revier-ansbach-stadtwald";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Ansbach";"hg-ansbach";"Urlas";"revier-ansbach-urlas";"HG-Team hg-ansbach";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ansbach@example.invalid";"Stellv. Team hg-ansbach";"+49 0000 000001";"stellv+hg-ansbach@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Auerbach";"revier-colmberg-auerbach";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Colmberg Ost";"revier-colmberg-ost";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Colmberg West";"revier-colmberg-west";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Mittelramstadt";"revier-colmberg-mittelramstadt";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Oberdachstetten";"revier-colmberg-oberdachstetten";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Obersulzbach";"revier-colmberg-obersulzbach";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Zailach";"revier-colmberg-zailach";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Rammersdorf I";"revier-colmberg-rammersdorf-1";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Zobelholz";"revier-colmberg-zobelholz";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Fichtholz/Eichelberg";"revier-colmberg-fichtholz-eichelberg";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Colmberg";"hg-colmberg";"Eberstall";"revier-colmberg-eberstall";"HG-Team hg-colmberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-colmberg@example.invalid";"Stellv. Team hg-colmberg";"+49 0000 000001";"stellv+hg-colmberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Bruckberg";"revier-bruckberg-bruckberg";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Forst";"revier-bruckberg-forst";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Großhaslach";"revier-bruckberg-grosshaslach";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Höfstetten";"revier-bruckberg-hoefstetten";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Kleinhaslach";"revier-bruckberg-kleinhaslach";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Kehlmünz";"revier-bruckberg-kehlmuenz";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Weihenzell";"revier-bruckberg-weihenzell";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Aichach";"revier-bruckberg-aichach";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Forst (StJR)";"revier-bruckberg-forst-stjr";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Haslacher Wald";"revier-bruckberg-haslacher-wald";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Heegstall";"revier-bruckberg-heegstall";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Bruckberg";"hg-bruckberg";"Schleißwald (StJR)";"revier-bruckberg-schleisswald-stjr";"HG-Team hg-bruckberg";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-bruckberg@example.invalid";"Stellv. Team hg-bruckberg";"+49 0000 000001";"stellv+hg-bruckberg@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Flachslanden Nord";"revier-flachslanden-nord";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Neustetten Nord";"revier-flachslanden-neustetten-nord";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Kettenhöfstetten";"revier-flachslanden-kettenhoefstetten";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Fachslanden Süd";"revier-flachslanden-fachslanden-sued";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Gräfenbuch";"revier-flachslanden-graefenbuch";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Mitteldachstetten";"revier-flachslanden-mitteldachstetten";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Neustetten Süd";"revier-flachslanden-neustetten-sued";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Sondernohe/Virnsberg";"revier-flachslanden-sondernohe-virnsberg";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Neuwiesenschlag";"revier-flachslanden-neuwiesenschlag";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Birkach";"revier-flachslanden-birkach";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Felberg";"revier-flachslanden-felberg";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Hochholz/Hessberg";"revier-flachslanden-hochholz-hessberg";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Flachslanden";"hg-flachslanden";"Birkenfelser Forst";"revier-flachslanden-birkenfelser-forst";"HG-Team hg-flachslanden";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-flachslanden@example.invalid";"Stellv. Team hg-flachslanden";"+49 0000 000001";"stellv+hg-flachslanden@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Ebersdorf";"revier-ruegland-ebersdorf";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Haasgang";"revier-ruegland-haasgang";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Rügland";"revier-ruegland-ruegland-1";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Eigenjagd";"revier-ruegland-eigenjagd";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Rügland";"revier-ruegland-ruegland-2";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Unternbibert";"revier-ruegland-unternbibert";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Andorf";"revier-ruegland-andorf";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Rügland";"hg-ruegland";"Fladengreuth";"revier-ruegland-fladengreuth";"HG-Team hg-ruegland";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-ruegland@example.invalid";"Stellv. Team hg-ruegland";"+49 0000 000001";"stellv+hg-ruegland@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Dietenhofen";"hg-dietenhofen";"Adelmannsdorf";"revier-dietenhofen-adelmannsdorf";"HG-Team hg-dietenhofen";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-dietenhofen@example.invalid";"Stellv. Team hg-dietenhofen";"+49 0000 000001";"stellv+hg-dietenhofen@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Dietenhofen";"hg-dietenhofen";"Dietenhofen";"revier-dietenhofen-dietenhofen";"HG-Team hg-dietenhofen";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-dietenhofen@example.invalid";"Stellv. Team hg-dietenhofen";"+49 0000 000001";"stellv+hg-dietenhofen@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Dietenhofen";"hg-dietenhofen";"Götteldorf";"revier-dietenhofen-goetteldorf";"HG-Team hg-dietenhofen";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-dietenhofen@example.invalid";"Stellv. Team hg-dietenhofen";"+49 0000 000001";"stellv+hg-dietenhofen@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
"Hegegemeinschaft Dietenhofen";"hg-dietenhofen";"Herpersdorf";"revier-dietenhofen-herpersdorf";"HG-Team hg-dietenhofen";"Hegegemeinschaftsleiter";"+49 0000 000000";"kontakt+hg-dietenhofen@example.invalid";"Stellv. Team hg-dietenhofen";"+49 0000 000001";"stellv+hg-dietenhofen@example.invalid";"Anonymisierte Mock-Kontaktdaten fuer oeffentliches Repo.";""
